;";show_date;Artist;Title;Album;Year"
32;"32;0_UNK_0;:30 Seconds Over Tokyo;Next Generation;:30 Seconds Over Tokyo;1998"
33;"33;0_UNK_0;:30 Seconds Over Tokyo;Heroes;:30 Seconds Over Tokyo;1998"
34;"34;0_UNK_0;:30 Seconds Over Tokyo;Streetlights;:30 Seconds Over Tokyo;1998"
35;"35;0_UNK_0;:30 Seconds Over Tokyo;Transparency;:30 Seconds Over Tokyo;1998"
36;"36;0_UNK_0;:30 Seconds Over Tokyo;Split Apart;:30 Seconds Over Tokyo;1998"
37;"37;0_UNK_0;:30 Seconds Over Tokyo;Indecision;:30 Seconds Over Tokyo;1998"
38;"38;0_UNK_0;:30 Seconds Over Tokyo;Left Behind;:30 Seconds Over Tokyo;1998"
39;"39;0_UNK_0;:30 Seconds Over Tokyo;Ace of Spades;:30 Seconds Over Tokyo;1998"
40;"40;0_UNK_0;:30 Seconds Over Tokyo;The Longest Steps;The Ambition Of One... The Hatred Of All;2000"
41;"41;0_UNK_0;:30 Seconds Over Tokyo;I've Learned;The Ambition Of One... The Hatred Of All;2000"
42;"42;0_UNK_0;:30 Seconds Over Tokyo;Race With The Devil;The Ambition Of One... The Hatred Of All;2000"
43;"43;0_UNK_0;:30 Seconds Over Tokyo;Do What You Want;""Boston Drops The Gloves """"A Tribute To Slapshot"""""";1999"
44;"44;0_UNK_0;10.000 Maniacs;Everyday Is Like Sunday;Candy Everybody Wants;1993"
45;"45;0_UNK_0;10.000 Maniacs;I Hope That I Don't Fall In Love With You;Female Tribute To Tom Waits - Vol.2 Disc 2;2008"
46;"46;0_UNK_0;10.000 Maniacs;These Are Days;MTV Unplugged;1994"
47;"47;0_UNK_0;10.000 Maniacs;These Are The Days;Our Time in Eden;1989"
48;"48;0_UNK_0;10.000 Maniacs;10.000 Maniacs / I Hope That I Don't Fall In Love With You;Step Right Up - The Songs of Tom Waits;1995"
49;"49;0_UNK_0;10.000 Maniacs;Because the Night;Unplugged;1993"
50;"50;0_UNK_0;10cc;Dreadlock Holiday;Snatch: Stealin' Stones & Breakin' Bones;2000"
51;"51;0_UNK_0;13th Floor Elevators;You're Gonna Miss Me;Nuggets 1: Original Artyfacts From the 1st Psychedelic Era (CD1);1966"
52;"52;0_UNK_0;16 Jump Squad;Lord of The Dance;Punk Rock Rarities vol 1;2006"
53;"53;0_UNK_0;2 Live Crew;Face Down A-- Up;Banned In The U.S.A.;1990"
54;"54;0_UNK_0;2 Live Crew;The Splak Shop;Greatest Hits;1996"
55;"55;0_UNK_0;2 Live Crew;We Like to Chill;Greatest Hits;1996"
56;"56;0_UNK_0;2 Pac;Troublesome 96';2 Pac's Greatest Hits;1998"
57;"57;0_UNK_0;2 Pac;Brenda's Got A Baby;2 Pac's Greatest Hits;1998"
58;"58;0_UNK_0;2 Pac;I Ain't Mad At Cha;2 Pac's Greatest Hits;1998"
59;"59;0_UNK_0;2 Pac;I Get Around;2 Pac's Greatest Hits;1998"
60;"60;0_UNK_0;2 Pac;Changes;2 Pac's Greatest Hits;1998"
61;"61;0_UNK_0;2 Pac;California Love (Original Version);2 Pac's Greatest Hits;1998"
62;"62;0_UNK_0;2 Pac;Picture Me Rollin';2 Pac's Greatest Hits;1998"
63;"63;0_UNK_0;2 Pac;How Long Will They Mourn Me?;2 Pac's Greatest Hits;1998"
64;"64;0_UNK_0;2 Pac;Toss It Up;2 Pac's Greatest Hits;1998"
65;"65;0_UNK_0;2 Pac;Dear Mama;2 Pac's Greatest Hits;1998"
66;"66;0_UNK_0;2 Pac;All About U;2 Pac's Greatest Hits;1998"
67;"67;0_UNK_0;2 Pac;To Live & Die In L.A.;2 Pac's Greatest Hits;1998"
68;"68;0_UNK_0;2 Pac;Heartz Of Men;2 Pac's Greatest Hits;1998"
69;"69;0_UNK_0;2 Pac;Keep Ya Head Up;2 Pac's Greatest Hits;1998"
70;"70;0_UNK_0;2 Pac;2 Of Amerikaz Most Wanted;2 Pac's Greatest Hits;1998"
71;"71;0_UNK_0;2 Pac;Temptations;2 Pac's Greatest Hits;1998"
72;"72;0_UNK_0;2 Pac;God Bless The Dead;2 Pac's Greatest Hits;1998"
73;"73;0_UNK_0;2 Pac;Hail Mary;2 Pac's Greatest Hits;1998"
74;"74;0_UNK_0;2 Pac;Me Against The World;2 Pac's Greatest Hits;1998"
75;"75;0_UNK_0;2 Pac;How Do U Want It;2 Pac's Greatest Hits;1998"
76;"76;0_UNK_0;2 Pac;So Many Tears;2 Pac's Greatest Hits;1998"
77;"77;0_UNK_0;2 Pac;Unconditional Love;2 Pac's Greatest Hits;1998"
78;"78;0_UNK_0;2 Pac;Trapped;2 Pac's Greatest Hits;1998"
79;"79;0_UNK_0;2 Pac;Life Goes On;2 Pac's Greatest Hits;1998"
80;"80;0_UNK_0;2 Pac;Hit 'Em Up;2 Pac's Greatest Hits;1998"
81;"81;0_UNK_0;2 Pac;Keep Ya Head Up;Strictly 4 My N.I.G.G.A.Z.;1998"
82;"82;0_UNK_0;2 Pac;I Get Around;Strictly 4 My N.I.G.G.A.Z.;1998"
83;"83;0_UNK_0;239 Scams;Remembrance;East Coast of Oi!;-1"
84;"84;0_UNK_0;The 239 Scams;Remembrance;The East Coast of Oi!;1999"
85;"85;0_UNK_0;3 Leg Torso;Ba Doum;Astor in Paris;2003"
86;"86;0_UNK_0;3 Leg Torso;Astor in Paris;Astor in Paris;2003"
87;"87;0_UNK_0;3 Leg Torso;Frog....Secret Agent;Astor in Paris;2003"
88;"88;0_UNK_0;3 Leg Torso;Giant Stomp;Astor in Paris;2003"
89;"89;0_UNK_0;3 Leg Torso;Bill's Last Adventure;Astor in Paris;2003"
90;"90;0_UNK_0;3 Leg Torso;Elliot's Dream;Astor in Paris;2003"
91;"91;0_UNK_0;3 Leg Torso;My Level Water;Astor in Paris;2003"
92;"92;0_UNK_0;3 Leg Torso;Le Beau's Hole;Astor in Paris;2003"
93;"93;0_UNK_0;3 Leg Torso;B & G's;Astor in Paris;2003"
94;"94;0_UNK_0;3 Leg Torso;Danza Lucumi;Astor in Paris;2003"
95;"95;0_UNK_0;30 Foot Fall;It's Still Rock & Roll to Me;Acme 143;1997"
96;"96;0_UNK_0;30 Seconds Over Tokyo;The Ambition Of One. The Hatred of All;The Ambition Of One The Hatred Of All EP;1998"
97;"97;0_UNK_0;30 Seconds Over Tokyo;The Longest Steps;The Ambition Of One The Hatred Of All EP;1998"
98;"98;0_UNK_0;30 Seconds Over Tokyo;I've  Learned;The Ambition Of One The Hatred Of All EP;1998"
99;"99;0_UNK_0;30 Seconds Over Tokyo;Race With The Devil;The Ambition Of One The Hatred Of All EP;1998"
100;"100;0_UNK_0;30 seconds over tokyo;step outside;Hardcore: True or False;-1"
101;"101;0_UNK_0;311;Don't Stay Home;311;1995"
102;"102;0_UNK_0;311;Love Song (The Cure cover);50 First Dates OST;2004"
103;"103;0_UNK_0;311;Hydroponic;Music for Our Mother ocean Vol. 2;1993"
104;"104;0_UNK_0;4 Non Blondes;Train;Bigger. Better. Faster. More!;1992"
105;"105;0_UNK_0;4 Non Blondes;Superfly;Bigger. Better. Faster. More!;1992"
106;"106;0_UNK_0;4 Non Blondes;What's Up?;Bigger. Better. Faster. More!;1992"
107;"107;0_UNK_0;4 Non Blondes;Pleasantly Blue;Bigger. Better. Faster. More!;1992"
108;"108;0_UNK_0;4 Non Blondes;Morphine and Chocolate;Bigger. Better. Faster. More!;1992"
109;"109;0_UNK_0;4 Non Blondes;Spaceman;Bigger. Better. Faster. More!;1992"
110;"110;0_UNK_0;4 Non Blondes;Old Mr. Heffer;Bigger. Better. Faster. More!;1992"
111;"111;0_UNK_0;4 Non Blondes;Calling All the People;Bigger. Better. Faster. More!;1992"
112;"112;0_UNK_0;4 Non Blondes;Dear Mr. President;Bigger. Better. Faster. More!;1992"
113;"113;0_UNK_0;4 Non Blondes;Drifting;Bigger. Better. Faster. More!;1992"
114;"114;0_UNK_0;4 Non Blondes;No Place Like Home;Bigger. Better. Faster. More!;1992"
115;"115;0_UNK_0;4 Non Blondes;Misty Mountain Hop;Economicum (A Tribute to Led Zeppelin);1995"
116;"116;0_UNK_0;4 PM (For Positive Music);Sukiyaki;Now's the Time;1994"
117;"117;0_UNK_0;48 in the Basement;Lauren Said Not to Make Fun of Her;Hurry Up and Wait Split;2000"
118;"118;0_UNK_0;48 in the Basement;Watch Your Back;Hurry Up and Wait Split;2000"
119;"119;0_UNK_0;48 in the Basement;""Carol! """"Carol"""" Carol?"";Hurry Up and Wait Split;2000"
120;"120;0_UNK_0;48 in the Basement;Late Night Girl;Hurry Up and Wait Split;2000"
121;"121;0_UNK_0;48 in the Basement;That Party. That Girl. That Night;Hurry Up and Wait Split;2000"
122;"122;0_UNK_0;48 in the Basement;Phelina is Too Perfect;Hurry Up and Wait Split;2000"
123;"123;0_UNK_0;48 in the Basement;The Story She Told Me;Hurry Up and Wait Split;2000"
124;"124;0_UNK_0;The 4-Skins;Plastic Gangsters;The Good. the Bad & the 4-Skins;1982"
125;"125;0_UNK_0;The 4-Skins;Jealousy;The Good. the Bad & the 4-Skins;1982"
126;"126;0_UNK_0;The 4-Skins;Yesterday's Hero;The Good. the Bad & the 4-Skins;1982"
127;"127;0_UNK_0;The 4-Skins;Justice;The Good. the Bad & the 4-Skins;1982"
128;"128;0_UNK_0;The 4-Skins;Jack the Lad;The Good. the Bad & the 4-Skins;1982"
129;"129;0_UNK_0;The 4-Skins;Remembrance Day;The Good. the Bad & the 4-Skins;1982"
130;"130;0_UNK_0;The 4-Skins;Manifesto;The Good. the Bad & the 4-Skins;1982"
131;"131;0_UNK_0;The 4-Skins;Wonderful World;The Good. the Bad & the 4-Skins;1982"
132;"132;0_UNK_0;The 4-Skins;1984;The Good. the Bad & the 4-Skins;1982"
133;"133;0_UNK_0;The 4-Skins;Sorry;The Good. the Bad & the 4-Skins;1982"
134;"134;0_UNK_0;The 4-Skins;Evil;The Good. the Bad & the 4-Skins;1982"
135;"135;0_UNK_0;The 4-Skins;I Don't Wanna Be;The Good. the Bad & the 4-Skins;1982"
136;"136;0_UNK_0;The 4-Skins;A.C.A.B;The Good. the Bad & the 4-Skins;1982"
137;"137;0_UNK_0;The 4-Skins;Chaos;The Good. the Bad & the 4-Skins;1982"
138;"138;0_UNK_0;The 4-Skins;One Law for Them;The Good. the Bad & the 4-Skins;1982"
139;"139;0_UNK_0;The 4-Skins;Low Life;The Good. the Bad & the 4-Skins;1982"
140;"140;0_UNK_0;The 4-Skins;Bread or Blood;The Good. the Bad & the 4-Skins;1982"
141;"141;0_UNK_0;The 4-Skins;Seems to Me;The Good. the Bad & the 4-Skins;1982"
142;"142;0_UNK_0;The 4-Skins;Bread or Blood;One Law for Them;2000"
143;"143;0_UNK_0;The 4-Skins;I Don't Wanna Die;Singalong-A-4-Skins;1999"
144;"144;0_UNK_0;5 a.m event;I washed my hands in muddy water;Doin' The Mod (vol. 3) - Maximum R&B;2001"
145;"145;0_UNK_0;The 5.6.7.8's;Harlem Nocturne;The 5.6.7.8's;1997"
146;"146;0_UNK_0;The 5.6.7.8's;Oriental Rock;The 5.6.7.8's;1997"
147;"147;0_UNK_0;The 5.6.7.8's;I Walk Like Jayne Mansfield;The 5.6.7.8's;1997"
148;"148;0_UNK_0;The 5.6.7.8's;Arkansas Twist;The 5.6.7.8's;1997"
149;"149;0_UNK_0;The 5.6.7.8's;Handsome Man;The 5.6.7.8's;1997"
150;"150;0_UNK_0;The 5.6.7.8's;Rockin' Rochester;The 5.6.7.8's;1997"
151;"151;0_UNK_0;The 5.6.7.8's;One Potato;The 5.6.7.8's;1997"
152;"152;0_UNK_0;The 5.6.7.8's;Cat Fight Run;The 5.6.7.8's;1997"
153;"153;0_UNK_0;The 5.6.7.8's;I Don't Need You No More;The 5.6.7.8's;1997"
154;"154;0_UNK_0;The 5.6.7.8's;Hichschool Witch;The 5.6.7.8's;1997"
155;"155;0_UNK_0;The 5.6.7.8's;Teenage Cleopatra;The 5.6.7.8's;1997"
156;"156;0_UNK_0;The 5.6.7.8's;Tallahassee Lassie;The 5.6.7.8's;1997"
157;"157;0_UNK_0;The 5.6.7.8's;Bomb the Twist;Bomb the Rocks: Early Days Singles 1989;2004"
158;"158;0_UNK_0;The 5.6.7.8's;Jane in the Jungle;Bomb the Rocks: Early Days Singles 1989;2004"
159;"159;0_UNK_0;The 5.6.7.8's;Three Cool Chicks;Bomb the Rocks: Early Days Singles 1989;2004"
160;"160;0_UNK_0;The 5.6.7.8's;Guitar Date;Bomb the Rocks: Early Days Singles 1989;2004"
161;"161;0_UNK_0;The 5.6.7.8's;Woo Hoo;Bomb the Rocks: Early Days Singles 1989;2004"
162;"162;0_UNK_0;The 5.6.7.8's;Dream Boy;Bomb the Rocks: Early Days Singles 1989;2004"
163;"163;0_UNK_0;The 5.6.7.8's;Continental Hop;Bomb the Rocks: Early Days Singles 1989;2004"
164;"164;0_UNK_0;The 5.6.7.8's;Jump Jack. Jump;Bomb the Rocks: Early Days Singles 1989;2004"
165;"165;0_UNK_0;The 5.6.7.8's;Smilly Willy;Bomb the Rocks: Early Days Singles 1989;2004"
166;"166;0_UNK_0;The 5.6.7.8's;Mr. Lee;Bomb the Rocks: Early Days Singles 1989;2004"
167;"167;0_UNK_0;The 5.6.7.8's;It's Rainy;Bomb the Rocks: Early Days Singles 1989;2004"
168;"168;0_UNK_0;The 5.6.7.8's;Road Runner;Bomb the Rocks: Early Days Singles 1989;2004"
169;"169;0_UNK_0;The 5.6.7.8's;My Boyfriend from Outer Space;Bomb the Rocks: Early Days Singles 1989;2004"
170;"170;0_UNK_0;The 5.6.7.8's;She Was a Mau Mau;Bomb the Rocks: Early Days Singles 1989;2004"
171;"171;0_UNK_0;The 5.6.7.8's;Long Tall Sally;Bomb the Rocks: Early Days Singles 1989;2004"
172;"172;0_UNK_0;The 5.6.7.8's;Scream;Bomb the Rocks: Early Days Singles 1989;2004"
173;"173;0_UNK_0;The 5.6.7.8's;Hot Generation;Bomb the Rocks: Early Days Singles 1989;2004"
174;"174;0_UNK_0;The 5.6.7.8's;Bond Girl;Bomb the Rocks: Early Days Singles 1989;2004"
175;"175;0_UNK_0;The 5.6.7.8's;Fruit Bubble Love;Bomb the Rocks: Early Days Singles 1989;2004"
176;"176;0_UNK_0;The 5.6.7.8's;Motor Cycle Go Go Go;Bomb the Rocks: Early Days Singles 1989;2004"
177;"177;0_UNK_0;The 5.6.7.8's;Jet Coaster;Bomb the Rocks: Early Days Singles 1989;2004"
178;"178;0_UNK_0;The 5.6.7.8's;5.6.7.8's;Bomb the Rocks: Early Days Singles 1989;2004"
179;"179;0_UNK_0;The 5.6.7.8's;Edie Is a Sweet Candy;Bomb the Rocks: Early Days Singles 1989;2004"
180;"180;0_UNK_0;The 5.6.7.8's;I Was a Teenage Cave Woman;Bomb the Rocks: Early Days Singles 1989;2004"
181;"181;0_UNK_0;The 5.6.7.8's;Ah-So;Bomb the Rocks: Early Days Singles 1989;2004"
182;"182;0_UNK_0;The 5.6.7.8's;Pinball Party;Bomb the Rocks: Early Days Singles 1989;2004"
183;"183;0_UNK_0;The 5.6.7.8's;Blue Radio;Bomb the Rocks: Early Days Singles 1989;2004"
184;"184;0_UNK_0;The 5.6.7.8's;Ah-So!;Can't Help It!;1993"
185;"185;0_UNK_0;The 5.6.7.8's;Let's Have a Party;Can't Help It!;1993"
186;"186;0_UNK_0;The 5.6.7.8's;Pinball Party;Can't Help It!;1993"
187;"187;0_UNK_0;The 5.6.7.8's;Jet Coaster;Can't Help It!;1993"
188;"188;0_UNK_0;The 5.6.7.8's;Wooly Bully;Can't Help It!;1993"
189;"189;0_UNK_0;The 5.6.7.8's;Wild Thing;Can't Help It!;1993"
190;"190;0_UNK_0;The 5.6.7.8's;Bond Girl;Can't Help It!;1993"
191;"191;0_UNK_0;The 5.6.7.8's;Motor Cycle Go-Go-Go;Can't Help It!;1993"
192;"192;0_UNK_0;The 5.6.7.8's;Fruit Bubble Love;Can't Help It!;1993"
193;"193;0_UNK_0;The 5.6.7.8's;The 5.6.7.8's;Can't Help It!;1993"
194;"194;0_UNK_0;The 5.6.7.8's;Woo Eee;Can't Help It!;1993"
195;"195;0_UNK_0;The 5.6.7.8's;Edie is a Sweet Candy;Can't Help It!;1993"
196;"196;0_UNK_0;The 5.6.7.8's;I Was a Teenage Cave Woman;Can't Help It!;1993"
197;"197;0_UNK_0;The 5.6.7.8's;Blue Radio;Can't Help It!;1993"
198;"198;0_UNK_0;The 5.6.7.8's;(I'm Sorry Mama) I'm a Wild One;Teenage Mojo Workout;2002"
199;"199;0_UNK_0;The 5.6.7.8's;I'm Blue;Teenage Mojo Workout;2002"
200;"200;0_UNK_0;The 5.6.7.8's;I Got A Man;Teenage Mojo Workout;2002"
201;"201;0_UNK_0;The 5.6.7.8's;Typhoon Girl;Teenage Mojo Workout;2002"
202;"202;0_UNK_0;The 5.6.7.8's;Hanky Panky;Teenage Mojo Workout;2002"
203;"203;0_UNK_0;The 5.6.7.8's;Harlem Shuffle;Teenage Mojo Workout;2002"
204;"204;0_UNK_0;The 5.6.7.8's;Green Onions;Teenage Mojo Workout;2002"
205;"205;0_UNK_0;The 5.6.7.8's;In The Subway;Teenage Mojo Workout;2002"
206;"206;0_UNK_0;The 5.6.7.8's;Teenage Mojo Workout;Teenage Mojo Workout;2002"
207;"207;0_UNK_0;The 5.6.7.8's;Let's Go Boogaloo;Teenage Mojo Workout;2002"
208;"208;0_UNK_0;The 5.6.7.8's;New Orleans Rock;Teenage Mojo Workout;2002"
209;"209;0_UNK_0;69 Boyz;Tootsee Roll;199Quad;1994"
210;"210;0_UNK_0;7 Seconds;I Hate Sports;alt.music.hardcore;1995"
211;"211;0_UNK_0;808 State;Cubic;Utd. State 90;1990"
212;"212;0_UNK_0;84 Flesh;Salted City;Killed By Death #3;2001"
213;"213;0_UNK_0;95 South;Whoot. There It Is;Whoot There It Is;1993"
214;"214;0_UNK_0;999;Homicide;No Thanks! The '70s Punk Rebellion (Disc 3);1978"
215;"215;0_UNK_0;999;Run For Your Life;You Us It!;2002"
216;"216;0_UNK_0;A Band Of Angels;(Accept My) Invitation;Doin' The Mod (vol. 1) - The Go Go Train;2000"
217;"217;0_UNK_0;A Bullet for the Family Traitor;Fate Turns itself Around;A Bullet for the Family Traitor EP;2001"
218;"218;0_UNK_0;A Global Threat;Don't Look;In The Red Ep;2000"
219;"219;0_UNK_0;A Global Threat;In The Red;In The Red Ep;2000"
220;"220;0_UNK_0;A Global Threat;My Neighbors;In The Red Ep;2000"
221;"221;0_UNK_0;A Global Threat;The Savior Comes;In The Red Ep;2000"
222;"222;0_UNK_0;A Global Threat;Smoke Up Your Ass;In The Red Ep;2000"
223;"223;0_UNK_0;A Global Threat;Sucks To The Political;In The Red Ep;2000"
224;"224;0_UNK_0;A Global Threat;Religious Scam;What The Fuck Will Change?;1999"
225;"225;0_UNK_0;A Global Threat;Ideal Threats;What The Fuck Will Change?;1999"
226;"226;0_UNK_0;A Global Threat;All We Really Own;What The Fuck Will Change?;1999"
227;"227;0_UNK_0;A Global Threat;False Patriot;What The Fuck Will Change?;1999"
228;"228;0_UNK_0;A Global Threat;Stop The Violence;What The Fuck Will Change?;1999"
229;"229;0_UNK_0;A Global Threat;The Proles;What The Fuck Will Change?;1999"
230;"230;0_UNK_0;A Global Threat;Live For Now;What The Fuck Will Change?;1999"
231;"231;0_UNK_0;A Global Threat;The Power;What The Fuck Will Change?;1999"
232;"232;0_UNK_0;A Global Threat;Cause For Abortion;What The Fuck Will Change?;1999"
233;"233;0_UNK_0;A Global Threat;This Town;What The Fuck Will Change?;1999"
234;"234;0_UNK_0;A Global Threat;Kids Will Revolt;What The Fuck Will Change?;1999"
235;"235;0_UNK_0;A Global Threat;Conformity;What The Fuck Will Change?;1999"
236;"236;0_UNK_0;A Global Threat;American Culture;What The Fuck Will Change?;1999"
237;"237;0_UNK_0;A Global Threat;What's Left Now?;What The Fuck Will Change?;1999"
238;"238;0_UNK_0;A Global Threat;Who's To Blame?;What The Fuck Will Change?;1999"
239;"239;0_UNK_0;A House;Endless Art;I Am The Greatest;1992"
240;"240;0_UNK_0;A Tribe Called Quest;Check The Rhime;Anthology;1999"
241;"241;0_UNK_0;A Tribe Called Quest;Bonita Applebum;Anthology;2000"
242;"242;0_UNK_0;A Tribe Called Quest;Award Tour;Anthology;2000"
243;"243;0_UNK_0;A Tribe Called Quest;Can I Kick It?;Anthology;1999"
244;"244;0_UNK_0;A Tribe Called Quest;Scenario;Anthology;1999"
245;"245;0_UNK_0;A Tribe Called Quest;Buggin' Out;Anthology;1999"
246;"246;0_UNK_0;A Tribe Called Quest;If The Papes Come;Anthology;2000"
247;"247;0_UNK_0;A Tribe Called Quest;Electric Relaxation;Anthology;2000"
248;"248;0_UNK_0;A Tribe Called Quest;Jazz (We've Got);Anthology;1999"
249;"249;0_UNK_0;A Tribe Called Quest;I Left My Wallet In El Segundo;Anthology;2000"
250;"250;0_UNK_0;A Tribe Called Quest;Hot Sex;Anthology;2000"
251;"251;0_UNK_0;A Tribe Called Quest;Oh My God;Anthology;1999"
252;"252;0_UNK_0;A Tribe Called Quest;Stressed Out (Featuring Faith Evans);Anthology;2000"
253;"253;0_UNK_0;A Tribe Called Quest;Luck Of Lucien;Anthology;1999"
254;"254;0_UNK_0;A Tribe Called Quest;Description Of A Fool;Anthology;2000"
255;"255;0_UNK_0;A Tribe Called Quest;Keeping It Moving;Anthology;1999"
256;"256;0_UNK_0;A Tribe Called Quest;Find A Way;Anthology;2000"
257;"257;0_UNK_0;A Tribe Called Quest;Sucka N***A;Anthology;1999"
258;"258;0_UNK_0;A Tribe Called Quest;Vivrant Thing-Violator Featuring Q-Tip;Anthology;2000"
259;"259;0_UNK_0;A Tribe Called Quest;Phony Rappers;Beats. Rhymes And Life;1996"
260;"260;0_UNK_0;A Tribe Called Quest;Get A Hold;Beats. Rhymes And Life;1996"
261;"261;0_UNK_0;A Tribe Called Quest;Motivators;Beats. Rhymes And Life;1996"
262;"262;0_UNK_0;A Tribe Called Quest;Jam;Beats. Rhymes And Life;1996"
263;"263;0_UNK_0;A Tribe Called Quest;Crew;Beats. Rhymes And Life;1996"
264;"264;0_UNK_0;A Tribe Called Quest;The Pressure;Beats. Rhymes And Life;1996"
265;"265;0_UNK_0;A Tribe Called Quest;1nce Again;Beats. Rhymes And Life;1996"
266;"266;0_UNK_0;A Tribe Called Quest;Mind Power;Beats. Rhymes And Life;1996"
267;"267;0_UNK_0;A Tribe Called Quest;The Hop;Beats. Rhymes And Life;1996"
268;"268;0_UNK_0;A Tribe Called Quest;Keeping It Moving;Beats. Rhymes And Life;1996"
269;"269;0_UNK_0;A Tribe Called Quest;Baby Phife's Return;Beats. Rhymes And Life;1996"
270;"270;0_UNK_0;A Tribe Called Quest;Separate Together;Beats. Rhymes And Life;1996"
271;"271;0_UNK_0;A Tribe Called Quest;Separate/together;Beats. Rhymes And Life;1996"
272;"272;0_UNK_0;A Tribe Called Quest;What Really Goes On;Beats. Rhymes And Life;1996"
273;"273;0_UNK_0;A Tribe Called Quest;Word Play;Beats. Rhymes And Life;1996"
274;"274;0_UNK_0;A Tribe Called Quest;Stressed Out;Beats. Rhymes And Life;1996"
275;"275;0_UNK_0;A Tribe Called Quest;Stressed Out (feat. Faith Evans);Beats. Rhymes And Life;1996"
276;"276;0_UNK_0;A Tribe Called Quest;Start It Up;The Love Movement;1998"
277;"277;0_UNK_0;A Tribe Called Quest;Find A Way;The Love Movement;1998"
278;"278;0_UNK_0;A Tribe Called Quest;Da Booty;The Love Movement;1998"
279;"279;0_UNK_0;A Tribe Called Quest;Steppin' It Up;The Love Movement;1998"
280;"280;0_UNK_0;A Tribe Called Quest;Like It Like That;The Love Movement;1998"
281;"281;0_UNK_0;A Tribe Called Quest;Common Ground (Get It Goin' On);The Love Movement;1998"
282;"282;0_UNK_0;A Tribe Called Quest;4 Moms (feat. Spanky);The Love Movement;1998"
283;"283;0_UNK_0;A Tribe Called Quest;His Name Is Mutty Ranks;The Love Movement;1998"
284;"284;0_UNK_0;A Tribe Called Quest;Give Me (feat. Noreaga);The Love Movement;1998"
285;"285;0_UNK_0;A Tribe Called Quest;Pad & Pen (feat. D-Life);The Love Movement;1998"
286;"286;0_UNK_0;A Tribe Called Quest;Busta's Lament;The Love Movement;1998"
287;"287;0_UNK_0;A Tribe Called Quest;Hot 4 U;The Love Movement;1998"
