Artist,Title,Album,Length,Year,Genre,Rating,Bitrate,Path,Media
"Rollins Band","Low Self Opinion","The End of Silence","00:05:25",1992,"Heavy Metal",-1,320,"Z:\Tunes\Rollins Band\The End of Silence-1992\01-Low Self Opinion-Rollins Band.mp3","ziggyShare"
"Edguy","Midgets Of Metal","Evil Minded","00:04:07",1994,"Heavy Metal",-1,128,"Z:\Tunes\Edguy\Evil Minded-1994\01-Midgets Of Metal-Edguy.mp3","ziggyShare"
"Bulldoze","Beatdown","The Final Beatdown","00:02:54",1998,"Heavy Metal",-1,192,"Z:\Tunes\Bulldoze\The Final Beatdown-1998\01-Beatdown-Bulldoze.mp3","ziggyShare"
"Yngwie Malmsteen","Perpetual","Fire And Ice","00:04:14",1992,"Heavy Metal",-1,192,"Z:\Tunes\Yngwie Malmsteen\Fire And Ice-1992\01-Perpetual-Yngwie Malmsteen.mp3","ziggyShare"
"Testament","For The Glory Of...","The Formation Of Damnation","00:01:13",2008,"Heavy Metal",-1,320,"Z:\Tunes\Testament\The Formation Of Damnation-2008\01-For The Glory Of...-Testament.mp3","ziggyShare"
"Arnocorps","Arno Intro","The Greatest Band of All Time","00:01:53",2005,"Heavy Metal",-1,160,"Z:\Tunes\Arnocorps\The Greatest Band of All Time-2005\01-Arno Intro-Arnocorps.mp3","ziggyShare"
"Judas Priest","Delivering The Goods","Hell Bent For Leather","00:04:17",1978,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Hell Bent For Leather-1978\01-Delivering The Goods-Judas Priest.mp3","ziggyShare"
"Judas Priest","Delivering The Goods","Hell Bent For Leather [The Remasters]","00:04:17",1978,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Hell Bent For Leather [The Remasters]-1978\01-Delivering The Goods-Judas Priest.mp3","ziggyShare"
"Stratovarius","Hunting High And Low","Hunting High & Low","00:03:49",2000,"Heavy Metal",-1,192,"Z:\Tunes\Stratovarius\Hunting High & Low-2000\01-Hunting High And Low-Stratovarius.mp3","ziggyShare"
"Wolfbrigade","The Awakening","In Darkness You Feel No Regrets","00:03:50",2003,"Heavy Metal",-1,192,"Z:\Tunes\Wolfbrigade\In Darkness You Feel No Regrets-2003\01-The Awakening-Wolfbrigade.mp3","ziggyShare"
"Grip Inc.","Curse (Of The Cloth)","Incorporated","00:05:04",2004,"Heavy Metal",-1,192,"Z:\Tunes\Grip Inc\Incorporated-2004\01-Curse (Of The Cloth)-Grip Inc..mp3","ziggyShare"
"Stratovarius","Will My Soul Ever Rest In Peace?","Intermission","00:04:56",2001,"Heavy Metal",-1,276,"Z:\Tunes\Stratovarius\Intermission-2001\01-Will My Soul Ever Rest In Peace-Stratovarius.mp3","ziggyShare"
"Iron Maiden","Prowler","Iron Maiden","00:03:56",1980,"Heavy Metal",-1,320,"Z:\Tunes\Iron Maiden\Iron Maiden-1980\01-Prowler-Iron Maiden.mp3","ziggyShare"
"Finntroll","Krig (Intro)","Jaktens Tid","00:02:10",2001,"Heavy Metal",-1,192,"Z:\Tunes\Finntroll\Jaktens Tid-2001\01-Krig (Intro)-Finntroll.mp3","ziggyShare"
"Helloween","Invitation","Keeper Of The Seven Keys Part 2","00:01:07",2006,"Heavy Metal",-1,128,"Z:\Tunes\Helloween\Keeper Of The Seven Keys Part 2-2006\01-Invitation-Helloween.mp3","ziggyShare"
"Metallica","Hit the Lights","Kill 'em All","00:04:17",1983,"Heavy Metal",-1,128,"Z:\Tunes\Metallica\Kill 'em All-1983\01-Hit the Lights-Metallica.m4a","ziggyShare"
"Iron Maiden","The Ides Of March","Killers","00:01:46",1981,"Heavy Metal",-1,320,"Z:\Tunes\Iron Maiden\Killers-1981\01-The Ides of March-Iron Maiden.mp3","ziggyShare"
"Crumbsuckers","Just Sit There","Life of Dreams","00:01:05",1999,"Heavy Metal",-1,192,"Z:\Tunes\Crumbsuckers\Life of Dreams-1999\01-Just Sit There-Crumbsuckers.mp3","ziggyShare"
"My Bloody Valentine","Only Shallow","Loveless","00:04:17",1991,"Heavy Metal",-1,320,"Z:\Tunes\My Bloody Valentine\Loveless-1991\01-Only Shallow-My Bloody Valentine.mp3","ziggyShare"
"Wolfpack","March of the Wolves (intro)","Lycanthro Punk","00:01:03",1998,"Heavy Metal",-1,128,"Z:\Tunes\Wolfpack\Lycanthro Punk-1998\01-March of the Wolves (intro)-Wolfpack.mp3","ziggyShare"
"Merauder","Time Ends","Master Killer","00:03:46",1996,"Heavy Metal",-1,128,"Z:\Tunes\Merauder\Master Killer-1996\01-Time Ends-Merauder.mp3","ziggyShare"
"Black Sabbath","Sweet Leaf","Master of Reality","00:05:05",1971,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Master of Reality-1971\01-Sweet Leaf-Black Sabbath.mp3","ziggyShare"
"Dragonforce","The Game","Maximum Overload","00:04:56",2014,"Heavy Metal",-1,320,"Z:\Tunes\Dragonforce\Maximum Overload-2014\01-The Game-Dragonforce.mp3","ziggyShare"
"Helmet","In The Meantime","Meantime","00:03:08",1992,"Heavy Metal",-1,192,"Z:\Tunes\Helmet\Meantime-1992\01-In The Meantime-Helmet.mp3","ziggyShare"
"Mercyful Fate","Evil","Melissa","00:04:45",1983,"Heavy Metal",-1,192,"Z:\Tunes\Mercyful Fate\Melissa-1983\01-Evil-Mercyful Fate.mp3","ziggyShare"
"Mercyful Fate","A Corpse Without Soul","Mercyful Fate","00:06:56",1982,"Heavy Metal",-1,192,"Z:\Tunes\Mercyful Fate\Mercyful Fate-1982\01-A Corpse Without Soul-Mercyful Fate.mp3","ziggyShare"
"Judas Priest","The Hellion","Metal Works 1973-1993 [Disc1] [1 of 2] [Remast","00:00:43",-1,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Metal Works 1973-1993 [Disc1] [1 of 2] [Remast-1993\01-The Hellion-Judas Priest.mp3","ziggyShare"
"Judas Priest","The Hellion","Metal Works '73 -'93","00:00:42",1993,"Heavy Metal",-1,249,"Z:\Tunes\Judas Priest\Metal Works '73 -'93-1993\01-The Hellion-Judas Priest.mp3","ziggyShare"
"Judas Priest","Screaming For Vengeance","Metal Works 73-93 (Disc 2)","00:04:44",1993,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Metal Works 73-93 (Disc 2)-1993\01-Screaming For Vengeance-Judas Priest.mp3","ziggyShare"
"Black Sabbath","Never Say Die","Never Say Die","00:03:50",1978,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Never Say Die-1978\01-Never Say Die-Black Sabbath.mp3","ziggyShare"
"Iron Maiden","Tailgunner","No Prayer For The Dying","00:04:15",1990,"Heavy Metal",-1,320,"Z:\Tunes\Iron Maiden\No Prayer for the Dying-1990\01-Tailgunner-Iron Maiden.mp3","ziggyShare"
"Moi Dix Mois","Invite to Immorality","Nocturnal Opera","00:00:51",2003,"Heavy Metal",-1,192,"Z:\Tunes\Moi dix Mois\Nocturnal Opera-2003\01-Invite to Immorality-Moi Dix Mois.mp3","ziggyShare"
"Type O Negative","Bad Ground","October Rust","00:00:38",1996,"Heavy Metal",-1,618,"Z:\Tunes\Type O Negative\October Rust-1996\01-Bad Ground-Type O Negative.flac","ziggyShare"
"Hellshock","Your World","Only The Dead Know The End Of War LP","00:02:39",2003,"Heavy Metal",-1,224,"Z:\Tunes\Hellshock\Only The Dead Know The End Of War LP-2003\01-Your World-Hellshock.mp3","ziggyShare"
"Ozzy Osbourne","Black Sabbath","The Ozzman Cometh","00:09:25",1997,"Heavy Metal",-1,157,"Z:\Tunes\Ozzy Osbourne\The Ozzman Cometh-1997\01-Black Sabbath-Ozzy Osbourne.mp3","ziggyShare"
"Judas Priest","Painkiller","Painkiller","00:06:07",1990,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Painkiller-1990\01-Painkiller-Judas Priest.mp3","ziggyShare"
"Judas Priest","Painkiller","Painkiller [The Re-Masters]","00:06:07",1990,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Painkiller [The Re-Masters]-1990\01-Painkiller-Judas Priest.mp3","ziggyShare"
"Black Sabbath","War Pigs/Luke's Wall","Paranoid","00:07:57",1970,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Paranoid-1970\01-War Pigs-Luke's Wall-Black Sabbath.mp3","ziggyShare"
"Judas Priest","Heading Out To The Highway","Point Of Entry","00:03:47",1981,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Point Of Entry-1981\01-Heading Out To The Highway-Judas Priest.mp3","ziggyShare"
"Grip Inc.","Toque de Muerto","Power of Inner Strength","00:01:22",1995,"Heavy Metal",-1,192,"Z:\Tunes\Grip Inc\Power of Inner Strength-1995\01-Toque de Muerto-Grip Inc..mp3","ziggyShare"
"Amebix","ICBM","The Power Remains","00:05:55",1999,"Heavy Metal",-1,160,"Z:\Tunes\Amebix\The Power Remains-1999\01-ICBM-Amebix.mp3","ziggyShare"
"Iron Maiden","Aces High","Powerslave","00:04:30",1984,"Heavy Metal",-1,128,"Z:\Tunes\Iron Maiden\Powerslave-1984\01-Aces High-Iron Maiden.m4a","ziggyShare"
"Ludichrist","Powertrip","Powertrip","00:03:35",2000,"Heavy Metal",-1,192,"Z:\Tunes\Ludichrist\Powertrip-2000\01-Powertrip-Ludichrist.mp3","ziggyShare"
"Judas Priest","Ram It Down","Ram It Down","00:04:49",1988,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Ram It Down-1988\01-Ram It Down-Judas Priest.mp3","ziggyShare"
"Metallica","Fight Fire With Fire","Ride the Lightning","00:04:45",1984,"Heavy Metal",-1,320,"Z:\Tunes\Metallica\Ride the Lightning-1984\01-Fight Fire With Fire-Metallica.mp3","ziggyShare"
"Judas Priest","One For The Road","Rocka Rolla","00:04:38",1974,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Rocka Rolla-1974\01-One For The Road-Judas Priest.mp3","ziggyShare"
"Judas Priest","One For The Road","Rocka Rolla (Digipak Re-release)","00:04:38",1974,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Rocka Rolla (Digipak Re-release)-1974\01-One For The Road-Judas Priest.mp3","ziggyShare"
"Black Sabbath","Sabbath Bloody Sabbath","Sabbath Bloody Sabbath","00:05:45",1973,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Sabbath Bloody Sabbath-1973\01-Sabbath Bloody Sabbath-Black Sabbath.mp3","ziggyShare"
"Black Sabbath","Hole In The Sky","Sabotage","00:04:00",1975,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Sabotage-1975\01-Hole In The Sky-Black Sabbath.mp3","ziggyShare"
"Judas Priest","Victim of Changes","Sad Wings of Destiny","00:07:45",1976,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Sad Wings of Destiny-1976\01-Victim of Changes-Judas Priest.mp3","ziggyShare"
"Judas Priest","Victim of Changes","Sad Wings of Destiny (Digipak re-release)","00:07:45",1976,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Sad Wings of Destiny (Digipak re-release)-1976\01-Victim of Changes-Judas Priest.mp3","ziggyShare"
"Judas Priest","The Hellion","Screaming for Vengeance","00:00:42",1982,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Screaming for Vengeance-1982\01-The Hellion-Judas Priest.mp3","ziggyShare"
"Iron Maiden","Moonchild","Seventh Son Of A Seventh Son","00:05:41",1988,"Heavy Metal",-1,128,"Z:\Tunes\Iron Maiden\Seventh Son Of A Seventh Son-1988\01-Moonchild-Iron Maiden.m4a","ziggyShare"
"Jesus Lizard","Glamorous","Show","00:03:20",1993,"Heavy Metal",-1,126,"Z:\Tunes\Jesus Lizard\Show-1993\01-Glamorous-Jesus Lizard.m4a","ziggyShare"
"Judas Priest","Sinner","Sin After Sin","00:06:45",1977,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Sin After Sin-1977\01-Sinner-Judas Priest.mp3","ziggyShare"
"Judas Priest","Sinner","Sin After Sin [The Re-Masters]","00:06:45",1977,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Sin After Sin [The Re-Masters]-1977\01-Sinner-Judas Priest.mp3","ziggyShare"
"Labyrinth","Chapter 1","Sons Of Thunder","00:06:03",2000,"Heavy Metal",-1,192,"Z:\Tunes\Labyrinth\Sons Of Thunder-2000\01-Chapter 1-Labyrinth.mp3","ziggyShare"
"Judas Priest","Exciter","Stained Class","00:05:34",1978,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Stained Class-1978\01-Exciter-Judas Priest.mp3","ziggyShare"
"Judas Priest","Exciter","Stained Class (remastered)","00:05:34",1978,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Stained Class (remastered)-1978\01-Exciter-Judas Priest.mp3","ziggyShare"
"Black Sabbath","Back Street Kids","Technical Ecstasy","00:03:48",1976,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Technical Ecstasy-1976\01-Back Street Kids-Black Sabbath.mp3","ziggyShare"
"All Shall Perish","Divine Illusion","This Is Where It Ends","00:03:21",2011,"Heavy Metal",-1,320,"Z:\Tunes\All Shall Perish\This Is Where It Ends-2011\01-Divine Illusion-All Shall Perish.mp3","ziggyShare"
"Stratovarius","Break The Ice","Twilight Time","00:04:37",1999,"Heavy Metal",-1,128,"Z:\Tunes\Stratovarius\Twilight Time-1999\01-Break The Ice-Stratovarius.mp3","ziggyShare"
"Judas Priest","Exciter","Unleashed In The East","00:05:39",1979,"Heavy Metal",-1,320,"Z:\Tunes\Judas Priest\Unleashed In The East-1979\01-Exciter-Judas Priest.mp3","ziggyShare"
"Pantera","Mouth For War","Vulgar Display Of Power","00:03:57",1992,"Heavy Metal",-1,281,"Z:\Tunes\Pantera\Vulgar Display Of Power-1992\01-Mouth For War-Pantera.mp3","ziggyShare"
"Arch Enemy","Enemy Within","Wages of Sin","00:04:22",2002,"Heavy Metal",-1,192,"Z:\Tunes\Arch Enemy\Wages of Sin-2002\01-Enemy Within-Arch Enemy.mp3","ziggyShare"
"Pantera","Walk (cervical edit)","Walk (EP)","00:05:13",1993,"Heavy Metal",-1,260,"Z:\Tunes\Pantera\Walk (EP)-1993\01-Walk (cervical edit)-Pantera.mp3","ziggyShare"
"Manowar","Call To Arms","Warriors of the World","00:05:32",2002,"Heavy Metal",-1,320,"Z:\Tunes\Manowar\Warriors of the World-2002\01-Call to Arms-Manowar.mp3","ziggyShare"
"Eddie Antonini","I Want Out","When Water Became Ice","00:04:42",1998,"Heavy Metal",-1,128,"Z:\Tunes\I Want Out\When Water Became Ice-1998\01-I Want Out-Eddie Antonini.mp3","ziggyShare"
"Faith No More","We Care A Lot (Original Version)","Who Cares A Lot? The Greatest Hits [Disc 1]","00:04:03",1998,"Heavy Metal",-1,210,"Z:\Tunes\Faith No More\Who Cares A Lot The Greatest Hits [Disc 1]-1998\01-We Care A Lot (Original Version)-Faith No More.mp3","ziggyShare"
"Faith No More","The World Is Yours","Who Cares A Lot? The Greatest Hits [Disc 2]","00:05:52",1998,"Heavy Metal",-1,223,"Z:\Tunes\Faith No More\Who Cares A Lot The Greatest Hits [Disc 2]-1998\01-The World Is Yours-Faith No More.mp3","ziggyShare"
"Ministry","N.W.O.","ΚΕΦΑΛΗΞΘ","00:05:32",1992,"Heavy Metal",-1,320,"H:\Downloads\1992\01. Ministry - N.W.O.mp3","Audio"
"Corrosion Of Conformity","Mad World","Animosity","00:01:54",1985,"Heavy Metal",-1,128,"Z:\Tunes\Corrosion Of Conformity\Animosity-1985\02-Mad World-Corrosion Of Conformity.mp3","ziggyShare"
"David Shankle Group","A Raven At Midnight","Ashes to Ashes","00:05:22",2003,"Heavy Metal",-1,192,"Z:\Tunes\David Shankle Group\Ashes to Ashes-2003\02-A Raven At Midnight-David Shankle Group.mp3","ziggyShare"
"Iron Maiden","Running Free (Live)","Best Of The Beast","00:03:28",1996,"Heavy Metal",-1,235,"Z:\Tunes\Iron Maiden\Best Of The Beast-1996\02-Running Free (Live)-Iron Maiden.mp3","ziggyShare"
"S.O.D.","The Crackhead Song","Bigger Than The Devil","00:01:47",2000,"Heavy Metal",-1,256,"Z:\Tunes\S.O.D\Bigger Than The Devil-2000\02-The Crackhead Song-S.O.D..mp3","ziggyShare"
"S.O.D.","Raise Your Sword","Bigger Than The Devil","00:04:12",2000,"Heavy Metal",-1,256,"Z:\Tunes\S.O.D\Bigger Than The Devil-2000\02-Raise Your Sword-S.O.D..mp3","ziggyShare"
"Black Sabbath","N.I.B.","Black Box: The Complete Original Black Sabbath (1970-1978)","00:05:24",1970,"Heavy Metal",-1,129,"Z:\Tunes\Black Sabbath\Black Box- The Complete Original Black Sabbath (1970-1978)-1970\02-N.I.B.-Black Sabbath.m4a","ziggyShare"
"Black Sabbath","The Wizard","Black Box: The Complete Original Black Sabbath (1970-1978)","00:04:21",1970,"Heavy Metal",-1,130,"Z:\Tunes\Black Sabbath\Black Box- The Complete Original Black Sabbath (1970-1978)-1970\02-The Wizard-Black Sabbath.m4a","ziggyShare"
"Black Sabbath","The Wizard","Black Sabbath","00:04:24",1970,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Black Sabbath-1970\02-The Wizard-Black Sabbath.mp3","ziggyShare"
"Black Sabbath","Tomorrow`s Dream","Black Sabbath, Vol.4","00:03:12",1972,"Heavy Metal",-1,128,"Z:\Tunes\Black Sabbath\Black Sabbath, Vol.4-1972\02-Tomorrow`s Dream-Black Sabbath.mp3","ziggyShare"
